S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency ID
14,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1385,5,1390,0.1,S0118
15,URUKUNDU VADDE,Independent,1284,11,1295,0.1,S0118
16,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1162,2,1164,0.09,S0118
17,SUNKARA SREEDHAR,Jai Bharat National Party,1149,14,1163,0.09,S0118
18,TARIGOPULA RAJABABU,All Peoples Party,1032,1,1033,0.08,S0118
19,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,777,6,783,0.06,S0118
20,NOTA,None of the Above,10394,117,10511,0.79,S0118
1,JOTHIMANI. S,Indian National Congress,531829,3077,534906,47.25,S2223
2,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,366209,1881,368090,32.52,S2223
3,SENTHILNATHAN. V.V,Bharatiya Janata Party,101517,965,102482,9.05,S2223
4,KARUPPAIYA. R,Naam Tamilar Katchi,86962,541,87503,7.73,S2223
5,SANKARAN. S,Bahujan Samaj Party,2665,15,2680,0.24,S2223
6,SAKTHIVEL. R,Independent,2391,22,2413,0.21,S2223
7,ABILAZAN. N,Independent,1916,5,1921,0.17,S2223
8,KARTHIKPERUMAL. R,Independent,1808,1,1809,0.16,S2223
9,KATHIRAVAN. P,Independent,1445,3,1448,0.13,S2223
10,KARUNAMOORTHY. S,Independent,1278,0,1278,0.11,S2223
11,MOHAMED NAZEEM. S,Independent,938,0,938,0.08,S2223
12,PALANISAMY. N.A,Independent,934,0,934,0.08,S2223
13,SHANMUGAM. N,Samaniya Makkal Nala Katchi,924,5,929,0.08,S2223
14,KALAIRAJ. K,Independent,809,2,811,0.07,S2223
15,JOTHIMANI. A.K,Independent,805,3,808,0.07,S2223
16,KANNAN. T,Independent,782,6,788,0.07,S2223
17,JOTHIMANI. S,Independent,774,6,780,0.07,S2223
18,SATHASIVAM. R,Independent,728,1,729,0.06,S2223
19,MANIKANDAN. K,Independent,685,0,685,0.06,S2223
20,KOSAMALAR. P,Independent,641,3,644,0.06,S2223
21,MURUGESAN. K,Ganasangam Party of India,628,2,630,0.06,S2223
22,MAHESWARAN. A,Independent,589,1,590,0.05,S2223
23,REGIS THIYAGARAJAN. V.G.A,Independent,570,2,572,0.05,S2223
24,VINCENT. F,Anti Corruption Dynamic Party,510,5,515,0.05,S2223
25,NATRAYAN. R,Independent,503,0,503,0.04,S2223
26,BANUMATHY. S,Independent,494,2,496,0.04,S2223
27,UMADEVI. S,Independent,452,1,453,0.04,S2223
28,VARADAN. M,Independent,428,1,429,0.04,S2223
29,MURALI. M,Independent,417,0,417,0.04,S2223
30,SAKTHIVEL. N,Independent,414,1,415,0.04,S2223
31,BABU. G,Independent,387,0,387,0.03,S2223
32,JAFAR ALI. A,Independent,368,3,371,0.03,S2223
33,PRABHU. G,Independent,354,0,354,0.03,S2223
34,PALANIVEL. P,Independent,350,0,350,0.03,S2223
35,ANBAZHAGAN. T,Independent,338,1,339,0.03,S2223
36,MURUGESAN. P,Independent,327,0,327,0.03,S2223
37,SOWMIYA. R,Independent,307,3,310,0.03,S2223
38,SATHISHKUMAR. S,Independent,304,2,306,0.03,S2223
39,DHURAIYARASAN. P,Independent,273,2,275,0.02,S2223
40,VINOTH KUMAR. N,Independent,273,3,276,0.02,S2223
41,SATHIS KUMAR. C,Independent,258,9,267,0.02,S2223
42,THIRUGNANAM. M,Independent,253,5,258,0.02,S2223
43,SATHISH. P,Independent,241,3,244,0.02,S2223
44,MAHAMUNI. A,Independent,213,0,213,0.02,S2223
45,RAJAPANDIAN. K,Independent,207,2,209,0.02,S2223
46,JOTHIVEL. A,Independent,206,0,206,0.02,S2223
47,BASKARAN. N,Independent,205,0,205,0.02,S2223
48,PUSHPARAJ. N,Independent,199,0,199,0.02,S2223
49,NARENDRAKUMAR. G,Independent,197,0,197,0.02,S2223
50,PRASANTH. S,Independent,194,0,194,0.02,S2223
51,SUBASH MALAYALAM. T,Independent,186,0,186,0.02,S2223
52,NAGESVARAN. P,Independent,185,0,185,0.02,S2223
53,DANIYA. P,Independent,165,0,165,0.01,S2223
54,SIVAKUMAR. V,Independent,150,1,151,0.01,S2223
55,NOTA,None of the Above,8174,101,8275,0.73,S2223
1,ANURAG SHARMA,Bharatiya Janata Party,689438,878,690316,50,S2446
2,"PRADEEP JAIN ""ADITYA""",Indian National Congress,587000,702,587702,42.57,S2446
3,RAVI PRAKASH,Bahujan Samaj Party,63106,86,63192,4.58,S2446
4,LAKHAN LAL,Independent,6832,0,6832,0.49,S2446
5,RAMESH,Independent,6330,8,6338,0.46,S2446
6,GANESH RAM,Independent,2574,1,2575,0.19,S2446
7,CHANDAN SINGH,Apna Dal (Kamerawadi),2487,4,2491,0.18,S2446
8,DHARMENDRA PRATAP,Independent,2299,4,2303,0.17,S2446
9,INDRA SINGH,Independent,2076,2,2078,0.15,S2446
10,ER. DEEPAK KUMAR VERMA,Al-Hind Party,1375,2,1377,0.1,S2446
11,NOTA,None of the Above,15290,12,15302,1.11,S2446
1,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85,S2012
2,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,553309,5505,558814,45.56,S2012
3,PRAHALAD MALI,Bahujan Samaj Party,13089,55,13144,1.07,S2012
4,GANESH MEENA,Indian Peoples Green Party,7425,8,7433,0.61,S2012
5,MAKHAN LAL MEENA,Independent,3314,10,3324,0.27,S2012
6,JASRAM MEENA,Independent,3044,1,3045,0.25,S2012
7,VIJENDRA,Aazad Samaj Party (Kanshi Ram),2669,28,2697,0.22,S2012
8,GIRRAJ PRASAD MEENA,Independent,2512,9,2521,0.21,S2012
9,JAGDISH PRASAD MEENA,Bharat Adivasi Party,1366,7,1373,0.11,S2012
10,DULI CHAND SAINI,Rajasthan Raj Party,1253,11,1264,0.1,S2012
11,JAGDISH PRASAD SHARMA,Bheem Tribal Congress,1023,6,1029,0.08,S2012
12,NOTA,None of the Above,8105,72,8177,0.67,S2012
1,AWADHESH PRASAD,Samajwadi Party,553549,740,554289,48.59,S2454
2,LALLU SINGH,Bharatiya Janata Party,499002,720,499722,43.81,S2454
3,SACHIDANAND PANDEY,Bahujan Samaj Party,46347,60,46407,4.07,S2454
4,ARVIND SEN,Communist Party of India,15353,14,15367,1.35,S2454
5,SUNIL KUMAR BHATT,Independent,3826,1,3827,0.34,S2454
6,KANCHAN YADAV,Moulik Adhikar Party,2662,4,2666,0.23,S2454
7,AMBRISH DEV GUPTA,Bharat Mahaparivar Party,2216,2,2218,0.19,S2454
8,FAREED SALMANI,Independent,1779,1,1780,0.16,S2454
9,LAL MANI URF L.M. TRIPATHI (BHAI SAHAB),Independent,1717,0,1717,0.15,S2454
10,ANIL KUMAR RAVAT,Rashtriya Janshakti Samaj Party,1636,2,1638,0.14,S2454
11,JAGAT SINGH,Independent,1252,2,1254,0.11,S2454
12,BRAJENDRA DUTT TRIPATHI URF B. D. TRIPATHI,Adarshwaadi Congress Party,1163,10,1173,0.1,S2454
13,ARUN KUMAR,Independent,1063,4,1067,0.09,S2454
14,NOTA,None of the Above,7529,7,7536,0.66,S2454
1,VIJAYLAKSHMI DEVI,Janata Dal  (United),385625,883,386508,38.73,S0418
2,HENA SHAHAB,Independent,293084,567,293651,29.42,S0418
3,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,198063,760,198823,19.92,S0418
4,SATYENDRA KUSHWAHA,Independent,21558,7,21565,2.16,S0418
5,JEEWAN KUMAR,Independent,18489,101,18590,1.86,S0418
6,DILIP KU SINGH,Bahujan Samaj Party,12032,80,12112,1.21,S0418
7,SANJAY KUMAR SAH,Bhartiya Lok Nayak Party,8851,28,8879,0.89,S0418
8,DR. RAVINDRA NATH SHUKLA,Independent,8681,12,8693,0.87,S0418
9,DEVKANT MISHRA,Independent,6162,19,6181,0.62,S0418
10,PRAMOD KUMAR,Independent,5666,2,5668,0.57,S0418
11,PRAKASH MANI TIWARI,Independent,4503,6,4509,0.45,S0418
12,MAHENDRA SINGH ALIAS MAHENDRA RAI,Independent,3920,2,3922,0.39,S0418
13,DILIP KUMAR SINGH,Independent,1947,6,1953,0.2,S0418
14,NOTA,None of the Above,26925,39,26964,2.7,S0418
1,MALAIYARASAN D,Dravida Munnetra Kazhagam,558346,3243,561589,44.94,S2214
2,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,505577,2228,507805,40.64,S2214
3,JAGADESAN A,Naam Tamilar Katchi,73098,554,73652,5.89,S2214
4,DEVADASS RAMASAMY,Pattali Makkal Katchi,70633,657,71290,5.71,S2214
5,PRABU C,Independent,4268,7,4275,0.34,S2214
6,BALAKRISHNAN P,Independent,3468,1,3469,0.28,S2214
7,JEEVANRAJ N,Bahujan Samaj Party,3075,21,3096,0.25,S2214
8,MAYILAMPARAI MARI A,Independent,2891,1,2892,0.23,S2214
9,NATTANMAI GUNASEKARANA A.S,Anna Makkal Katchi,2497,8,2505,0.2,S2214
10,KUMARAGURU N,Independent,2226,1,2227,0.18,S2214
11,MURUGESAN M,Independent,2223,2,2225,0.18,S2214
12,SUBRAMANIAN R K,Independent,868,4,872,0.07,S2214
13,ARUL INIYAN A,Independent,772,12,784,0.06,S2214
14,VENKATRAMAN J,Naadaalum Makkal Katchi,687,4,691,0.06,S2214
15,KAMALAKANNAN M,Independent,629,1,630,0.05,S2214
16,GOVINDARAJ S R,Independent,533,25,558,0.04,S2214
17,PALANIYAMMAL S,Desiya Makkal Sakthi Katchi,533,15,548,0.04,S2214
18,SIGAMANI A,Independent,515,27,542,0.04,S2214
19,RAJASEKAR K,Independent,501,10,511,0.04,S2214
20,JAYABAL PM,Independent,473,3,476,0.04,S2214
21,RAJAMANICKAM C,Independent,398,1,399,0.03,S2214
22,NOTA,None of the Above,8351,181,8532,0.68,S2214
1,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,569110,2383,571493,50.08,S2233
2,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,289909,2759,292668,25.65,S2233
3,NARAYANASAMY V T,All India Anna Dravida Munnetra Kazhagam,154871,716,155587,13.63,S2233
4,MADHAN,Naam Tamilar Katchi,75495,1339,76834,6.73,S2233
5,PRAKASH P,Independent,6293,5,6298,0.55,S2233
6,PANDIKUMAR S,Independent,3907,60,3967,0.35,S2233
7,AJEETHKUMAR S,Independent,2977,29,3006,0.26,S2233
8,PARAMASIVAN S,Independent,2852,14,2866,0.25,S2233
9,PARTHIBAN G,Independent,2275,2,2277,0.2,S2233
10,JEEVA M,Bahujan Samaj Party,2123,99,2222,0.19,S2233
11,CHARCHIL DURAI P,Humanity for Peace Party,1905,30,1935,0.17,S2233
12,PREMA S,Independent,1225,7,1232,0.11,S2233
13,MANIKANDAN R,Independent,1195,6,1201,0.11,S2233
14,REVATHI K,Independent,1115,13,1128,0.1,S2233
15,MUDIYARASU,All India Youth Development Party,1078,16,1094,0.1,S2233
16,THIAGARAJAN O V,Independent,924,8,932,0.08,S2233
17,VASANTHA SARAVANAN,Independent,803,2,805,0.07,S2233
18,VIJAYAN K,Independent,665,2,667,0.06,S2233
19,SETHUPATHI G,Independent,613,4,617,0.05,S2233
20,JOHNGILBERTRAJ,Independent,598,5,603,0.05,S2233
21,AATHIMUTHUKUMAR M,Independent,587,5,592,0.05,S2233
22,MUTHUKUMAR,Independent,539,4,543,0.05,S2233
23,HARIKRISHNAKUMAR R,Independent,481,5,486,0.04,S2233
24,SATHEESH KUMAR A,Independent,447,6,453,0.04,S2233
25,KUMAR,Independent,376,1,377,0.03,S2233
26,NOTA,None of the Above,11206,130,11336,0.99,S2233
1,ATUL GARG,Bharatiya Janata Party,853036,1134,854170,58.09,S2412
2,DOLLY SHARMA,Indian National Congress,516699,506,517205,35.17,S2412
3,NAND KISHOR PUNDIR,Bahujan Samaj Party,79387,138,79525,5.41,S2412
4,RAVI KUMAR PANCHAL,Independent,1965,1,1966,0.13,S2412
5,ANAND KUMAR,Rashtra Nirman Party,1174,4,1178,0.08,S2412
6,NATTHUSINGH CHAUDHARY,Independent,1159,3,1162,0.08,S2412
7,AURANGJEB,Independent,1120,0,1120,0.08,S2412
8,NAMAHA,Samaj Vikas Kranti Party,1079,1,1080,0.07,S2412
9,AVDESH KUMAR,Independent,1037,6,1043,0.07,S2412
10,POOJA SAXENA,Right to Recall Party,874,4,878,0.06,S2412
11,KAVITA,Independent,772,3,775,0.05,S2412
12,ANSUL GUPTA,Rashtriya Jan Karmath Party,763,1,764,0.05,S2412
13,DHIRENDRA SINGH BHADAURIYA,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),696,4,700,0.05,S2412
14,ABHISHEK PUNDIR,Independent,652,1,653,0.04,S2412
15,NOTA,None of the Above,8195,16,8211,0.56,S2412
1,RAMBHUAL NISHAD,Samajwadi Party,442886,1444,444330,43,S2438
2,MANEKA SANJAY GANDHI,Bharatiya Janata Party,399859,1297,401156,38.82,S2438
3,UDRAJ VERMA,Bahujan Samaj Party,162603,422,163025,15.78,S2438
4,ABDUL MABOOD,Apna Desh Party,4295,2,4297,0.42,S2438
5,MOHAMMAD ASIF,Independent,3382,5,3387,0.33,S2438
6,UDAYRAJ VERMA,Independent,2900,9,2909,0.28,S2438
7,GIRISH LAL,Azad Party,2305,6,2311,0.22,S2438
8,DR SHIV SHANKAR INDIAN,Most Backward Classes Of India,2085,5,2090,0.2,S2438
9,JAY PRAKASH,Sardar Patel Siddhant Party,1364,5,1369,0.13,S2438
10,NOTA,None of the Above,8500,13,8513,0.82,S2438
1,RAO INDERJIT SINGH,Bharatiya Janata Party,805161,3175,808336,50.48,S079
2,RAJ BABBAR,Indian National Congress,731696,1561,733257,45.79,S079
3,RAHUL YADAV FAZILPURIA,Jannayak Janta Party,13214,64,13278,0.83,S079
4,VIJAY KHATANA,Bahujan Samaj Party,8900,46,8946,0.56,S079
5,SORAB KHAN,Indian National Lok Dal,4897,20,4917,0.31,S079
6,AJAY KUMAR,Independent,3527,1,3528,0.22,S079
7,ASHOK JANGRA,Independent,3002,3,3005,0.19,S079
8,AZAD SINGH,Independent,2744,1,2745,0.17,S079
9,AKSHAT GAIT,Independent,2549,1,2550,0.16,S079
10,LAL CHAND YADAV,Bharatheeya Jawan Kisan Party,2214,8,2222,0.14,S079
11,SAMAY SINGH,Independent,1885,2,1887,0.12,S079
12,DHARMENDER THAKRAN,Swayam Shashan Party,1402,6,1408,0.09,S079
13,VIJAY YADAV,Jan Sewak Kranti Party,1120,0,1120,0.07,S079
14,ISHWAR SINGH SUTHANI,Peoples Party of India (Democratic),1110,4,1114,0.07,S079
15,COMRADE SARWAN KUMAR GUPTA,Socialist Unity Centre Of India (COMMUNIST),1066,8,1074,0.07,S079
16,VANDNA GULIYA,Right to Recall Party,980,20,1000,0.06,S079
17,SAMPOORN ANAND,Rashtriya Lokswaraj Party,911,4,915,0.06,S079
18,KUSHESHWAR  BHAGAT,Independent,794,0,794,0.05,S079
19,SINGH RAM,Independent,789,2,791,0.05,S079
20,ANWAR,Social Democratic Party Of India,572,6,578,0.04,S079
21,FAUJI JAI KAWAR TYAGI (DIXIT),Independent,469,5,474,0.03,S079
22,AKASH VYAS,Bhartiya Shakti Chetna Party,436,3,439,0.03,S079
23,VISHNU,Independent,436,1,437,0.03,S079
24,NOTA,None of the Above,6377,40,6417,0.4,S079
1,SHRIRANG APPA CHANDU BARNE,Shiv Sena,692101,731,692832,48.81,S1333
2,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),595542,675,596217,42,S1333
3,MADHAVITAI  NARESH JOSHI,Vanchit Bahujan  Aaghadi,27745,23,27768,1.96,S1333
4,RAJARAM NARAYAN PATIL,Bahujan Samaj Party,13982,21,14003,0.99,S1333
5,ADV JYOTISHWAR VISHNU BHOSALE,Baliraja Party,10874,5,10879,0.77,S1333
6,UMAKANT RAMESHWAR MISHRA,Independent,5029,1,5030,0.35,S1333
7,SANJOG  PATIL,Independent,4828,2,4830,0.34,S1333
8,KAMBLE MARUTI APARAI,Independent,4827,2,4829,0.34,S1333
9,AJAY HANUMANT LONDHE,Independent,4766,1,4767,0.34,S1333
10,SANTOSH UBALE,Bhim Sena,3824,1,3825,0.27,S1333
11,ADHALGE LAXMAN SADASHIV,Independent,3166,1,3167,0.22,S1333
12,SUHAS MANOHAR RANE,Independent,2923,0,2923,0.21,S1333
13,IQBAL IBRAHIM NAWDEKAR,Independent,2899,1,2900,0.2,S1333
14,DADARAO KISAN KAMBLE,Independent,2636,6,2642,0.19,S1333
15,RAHUL NIVRUTTI MADANE,Independent,2279,3,2282,0.16,S1333
16,TUSHAR DIGAMBAR LONDHE,Bahujan Bharat Party,2199,4,2203,0.16,S1333
17,RAHIM MAINUDDIN SAYYAD,Aazad Samaj Party (Kanshi Ram),2148,1,2149,0.15,S1333
18,INDRAJEET D GOND,Independent,2135,0,2135,0.15,S1333
19,SHIVAJI KISAN JADHAV,All India Forward Bloc,1672,4,1676,0.12,S1333
20,YASHWANT VITTHAL PAWAR,Kranti Kari Jai Hind Sena,1634,4,1638,0.12,S1333
21,PRAFUL PANDIT BHOSALE,Independent,1602,1,1603,0.11,S1333
22,RAJENDRA MARUTI KATE,Independent,1417,2,1419,0.1,S1333
23,MAHESH THAKUR,Dharmarajya Paksha,1369,3,1372,0.1,S1333
24,PRASHANT RAMKRISHNA BHAGAT,Bharatheeya Jawan Kisan Party,1283,8,1291,0.09,S1333
25,PANKAJ PRABHAKAR OZARKAR,Akhil Bhartiya Parivar Party,1259,2,1261,0.09,S1333
26,MANOJ BHASKAR GARBADE,Independent,1233,0,1233,0.09,S1333
27,HAJRAT IMAMSAB PATEL,Independent,1093,0,1093,0.08,S1333
28,GOVIND GANGARAM HERODE,Independent,966,0,966,0.07,S1333
29,MADHUKAR DAMODAR THORAT,Independent,905,0,905,0.06,S1333
30,RAFIQUE RASHID QURESHI,Desh Janhit Party,829,0,829,0.06,S1333
31,CHIMAJI DHONDIBA SHINDE,Independent,757,0,757,0.05,S1333
32,ADV RAJU PATIL,Independent,669,1,670,0.05,S1333
33,MUKESH MANOHAR AGARWAL,Independent,546,1,547,0.04,S1333
34,NOTA,None of the Above,16729,31,16760,1.18,S1333
1,RAO RAJENDRA SINGH,Bharatiya Janata Party,608189,9688,617877,48.96,S206
2,ANIL CHOPRA,Indian National Congress,602293,13969,616262,48.83,S206
3,HANUMAN SAHAY,Bahujan Samaj Party,3773,77,3850,0.31,S206
4,RAMSINGH KASANA,Independent,3701,6,3707,0.29,S206
5,DR DASHRATH HINUNIA,Ambedkarite Party of India,2669,12,2681,0.21,S206
6,KAHANVI BOHRA,Independent,1658,53,1711,0.14,S206
7,DR RAM ROOP MEENA ADVOCATE,Independent,1589,15,1604,0.13,S206
8,NEHA SINGH GURJAR,Independent,1378,29,1407,0.11,S206
9,PRAKASH KUMAR SHARMA,Independent,1033,7,1040,0.08,S206
10,AJAY BHAT,Republican Party of India (A),931,17,948,0.08,S206
11,DEVHANS,Independent,924,17,941,0.07,S206
12,DR OM SINGH MEENA SEHARA,Independent,676,58,734,0.06,S206
13,ADITYA PRAKASH SHARMA,Right to Recall Party,650,16,666,0.05,S206
14,YOGI JEETENDRA NATH ADVOCATE,Rashtriya Sawarn Dal,556,6,562,0.04,S206
15,ADVOCATE HARI KISHAN TIWARI,Bheem Tribal Congress,541,4,545,0.04,S206
16,NOTA,None of the Above,7405,114,7519,0.6,S206
1,MALVINDER SINGH KANG,Aam Aadmi Party,312241,976,313217,29.08,S196
2,VIJAY INDER SINGLA,Indian National Congress,301414,957,302371,28.07,S196
3,DR SUBHASH SHARMA,Bharatiya Janata Party,185836,742,186578,17.32,S196
4,PREM SINGH CHANDUMAJRA,Shiromani Akali Dal,117651,285,117936,10.95,S196
5,JASVIR SINGH GARHI,Bahujan Samaj Party,89953,204,90157,8.37,S196
6,KUSHAL PAL SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),24725,106,24831,2.31,S196
7,GAJJAN SINGH,Independent,6164,7,6171,0.57,S196
8,SIMPLE KUMAR,Independent,2962,0,2962,0.27,S196
9,SATPAL,Independent,2294,3,2297,0.21,S196
10,GURMIT SINGH,Independent,2179,3,2182,0.2,S196
11,DHARMINDER SINGH HARMAN,Akhil Bhartiya Parivar Party,2037,6,2043,0.19,S196
12,SUNIL KUMAR,Bhartiya Jan Samman Party,1968,9,1977,0.18,S196
13,ER DALJEET SINGH SAINI,Bharatheeya Jawan Kisan Party,1710,5,1715,0.16,S196
14,KULWINDER SINGH,Democratic Bharatiya Samaj Party,1651,1,1652,0.15,S196
15,SUNAINA,Bhartiya Rashtriya Dal,1621,19,1640,0.15,S196
16,ADV KULWINDER SINGH,Independent,1596,4,1600,0.15,S196
17,MEGH RAJ,Independent,1429,1,1430,0.13,S196
18,HARWINDER KARWAL,Independent,1309,2,1311,0.12,S196
19,DAVINDER SINGH,Independent,1164,11,1175,0.11,S196
20,DARSHAN SINGH,Punjab National Party,1164,8,1172,0.11,S196
21,HANISH SHARMA,Ekam Sanatan Bharat Dal,1072,4,1076,0.1,S196
22,DEEPAK SHARMA,Independent,1012,0,1012,0.09,S196
23,PARMINDER SINGH,Independent,930,0,930,0.09,S196
24,YOG RAJ SAHOTA,Revolutionary Socialist Party,925,0,925,0.09,S196
25,RAMJAAN KHAN,Independent,672,0,672,0.06,S196
26,ROHTASH,Independent,617,2,619,0.06,S196
27,MANDAR SINGH,Independent,555,0,555,0.05,S196
28,KIRAN JAIN,Hindustan Shakti Sena,507,8,515,0.05,S196
29,NOTA,None of the Above,6351,51,6402,0.59,S196
1,DR.K.SUDHAKAR,Bharatiya Janata Party,819588,3031,822619,53.74,S1027
2,M.S. RAKSHA RAMAIAH,Indian National Congress,657489,1670,659159,43.06,S1027
3,MUNIVENKATAPPA M.P,Communist Party of India  (Marxist),4546,11,4557,0.3,S1027
4,MAHADEV. P,Bahujan Samaj Party,4428,12,4440,0.29,S1027
5,RAJANNA,Independent,3759,5,3764,0.25,S1027
6,RAJA REDDY,Independent,3377,4,3381,0.22,S1027
7,KALAVATHI. N,Socialist Unity Centre Of India (COMMUNIST),2736,8,2744,0.18,S1027
8,VALASAPALLI UTAPPA,Independent,2152,10,2162,0.14,S1027
9,VENKATESHMURTHY.V,Uttama Prajaakeeya Party,2015,5,2020,0.13,S1027
10,D. SUDHAKARA,Independent,1678,11,1689,0.11,S1027
11,SUDHAKAR. N,Independent,1581,10,1591,0.1,S1027
12,G N RAVI,Independent,1462,3,1465,0.1,S1027
13,BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,1363,4,1367,0.09,S1027
14,CHANDRASHEKAR. H.C,Independent,1270,12,1282,0.08,S1027
15,MOHITH NARASIMHAMURTHY,Independent,1222,7,1229,0.08,S1027
16,V.N. NARASIMHAMURTHY VADIGERE,Independent,1212,6,1218,0.08,S1027
17,G.N. VENKATESH B.A.L.L.B,Independent,1199,8,1207,0.08,S1027
18,DEVARAJ CORONA WARRIOR,Independent,1168,9,1177,0.08,S1027
19,G SUBRAMANI SHETTY,Karnataka Rashtra Samithi,869,3,872,0.06,S1027
20,DR. M.R. RANGANATHA,Independent,850,7,857,0.06,S1027
21,NAGESH. S,Digvijaya Bharatha Party,843,7,850,0.06,S1027
22,T.R. NARAYANA RAO,Indian Labour Party (Ambedkar Phule),757,5,762,0.05,S1027
23,"C.V.  LOKESH GOWDA, B.E",Independent,691,10,701,0.05,S1027
24,D. CHINNAPPA,Independent,616,3,619,0.04,S1027
25,SANDESH.G,Independent,588,6,594,0.04,S1027
26,NASURULLA,Independent,579,4,583,0.04,S1027
27,K. VENKATESH,Independent,469,5,474,0.03,S1027
28,T VENKATA SIVUDU,Independent,434,6,440,0.03,S1027
29,G N. KODANDAREDDY,Independent,399,2,401,0.03,S1027
30,NOTA,None of the Above,6545,51,6596,0.43,S1027
1,KUNDURU RAGHUVEER,Indian National Congress,772264,12073,784337,60.5,S2913
2,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,219606,4826,224432,17.31,S2913
3,KANCHARLA KRISHNA REDDY,Bharat Rashtra Samithi,216681,1736,218417,16.85,S2913
4,JANAIAH NANDIPATI,Telangana Sakalajanula Party,10832,27,10859,0.84,S2913
5,NAGARAJU BANDARU,Independent,7122,6,7128,0.55,S2913
6,ANJAIAH VIRIGINENI,Bahujan Samaj Party,7075,102,7177,0.55,S2913
7,MARAM VENKAT REDDY,Independent,5962,5,5967,0.46,S2913
8,PANUGOTU LALASINGH,Independent,5277,9,5286,0.41,S2913
9,THALARI RAMBABU,Dharma Samaj Party,5028,94,5122,0.4,S2913
10,RAMESH SUNKARA,Independent,3566,3,3569,0.28,S2913
11,POLISHETTY VENKATESHWARLU,Independent,3202,10,3212,0.25,S2913
12,KUKKALA VENKANNA,Independent,2561,5,2566,0.2,S2913
13,CHOLLETI PRABHAKAR,Independent,2482,22,2504,0.19,S2913
14,GOLI SAIDULU,Independent,1770,9,1779,0.14,S2913
15,MARRI NEHEMIAH,Independent,1653,9,1662,0.13,S2913
16,RAVI PALAKURI,Independent,1545,2,1547,0.12,S2913
17,VASKULA MATTAIAH,Marxist Communist Party of India (United),1033,7,1040,0.08,S2913
18,KUNDARAPU SRIKANTH,Independent,940,7,947,0.07,S2913
19,RACHA SUBHADRA REDDY,Socialist Party (India),835,11,846,0.07,S2913
20,LINGAM KRISHNA,Independent,666,0,666,0.05,S2913
21,KINNERA YADAIAH,Independent,654,7,661,0.05,S2913
22,SHIRISHALA SRINAIAH,Independent,513,1,514,0.04,S2913
23,NOTA,None of the Above,5869,217,6086,0.47,S2913
1,ZIA UR REHMAN,Samajwadi Party,570745,416,571161,47.8,S248
2,PARMESHWAR LAL SAINI,Bharatiya Janata Party,448983,684,449667,37.63,S248
3,CHAUDHARY SAULAT ALI,Bahujan Samaj Party,152317,143,152460,12.76,S248
4,WASEEM SO MOH SHAMIM,Independent,3863,1,3864,0.32,S248
5,MOHD WASEEM SO MOHD FAREED,Independent,2077,0,2077,0.17,S248
6,JAYGAMUL ISLAM,Janta Shashan Party,1940,2,1942,0.16,S248
7,ANUJ VARSHNEY,Independent,1674,3,1677,0.14,S248
8,MAHANDRA SINGH,Independent,1291,3,1294,0.11,S248
9,SANTOSH,Kisan Kranti Dal,1201,3,1204,0.1,S248
10,DR RASHID,Peace Party,1059,1,1060,0.09,S248
11,TAUFIK AHAMAD,Independent,722,1,723,0.06,S248
12,PAVAN KUMAR,Log Party,636,1,637,0.05,S248
13,NOTA,None of the Above,7213,4,7217,0.6,S248
1,BALRAM NAIK PORIKA,Indian National Congress,608505,4269,612774,55.27,S2916
2,KAVITHA MALOTH,Bharat Rashtra Samithi,262416,1193,263609,23.77,S2916
3,PROFESSOR. AZMEERA SEETARAM NAIK,Bharatiya Janata Party,108775,1669,110444,9.96,S2916
4,ARUN KUMAR MYPATHI,All India Forward Bloc,38252,884,39136,3.53,S2916
5,RAGHU VARMA JATOTHU,Alliance of Democratic Reforms Party,11879,14,11893,1.07,S2916
6,DURGA PALVANCHA,Independent,10112,7,10119,0.91,S2916
7,KONETI SUJATHA,Bahujan Samaj Party,8058,35,8093,0.73,S2916
8,ANIL KUMAR BODA,Independent,6419,12,6431,0.58,S2916
9,CHANDA LINGAIAH,Independent,5075,25,5100,0.46,S2916
10,MOKALLA MURALIKRISHNA,Independent,4056,6,4062,0.37,S2916
11,SOYAM KANNA RAJU,Gondvana Gantantra Party,3727,28,3755,0.34,S2916
12,BANOTH PREM NAYAK [BPN],Independent,3707,5,3712,0.33,S2916
13,PAYAM.SINGARAJU,Independent,3192,4,3196,0.29,S2916
14,PADIGA YARRAIAH,Independent,2873,14,2887,0.26,S2916
